price,views per hour,link,condition,shipping,import charges,sale type,model,capacity,color
475.0,-1,https://www.ebay.ca/itm/143987617285?hash=item218654ae05:g:hNcAAOSw~39gW75V,1,0.0,0.0,1,18,64,Black
315.0,26,https://www.ebay.ca/itm/284400788056?epid=2310781314&hash=item42379ba258:g:9~MAAOSwrQFhDzuM,0,10.646999999999998,0.0,0,18,64,Space Gray
69.3,-1,https://www.ebay.ca/itm/114830706688?hash=item1abc718800:g:y~8AAOSwWbdgsyqT,1,21.2814,14.263200000000001,1,6,64,Space Gray
415.8,-1,https://www.ebay.ca/itm/274893067782?epid=12032479089&hash=item4000e75606:g:jM8AAOSw5pxg~pyp,1,25.2,0.0,0,18,64,White
419.0,-1,https://www.ebay.ca/itm/164719397971?epid=239093115&hash=item265a0a8c53:g:VjAAAOSwgjtgKbLK,1,50.0,0.0,1,18,64,Gray
462.0,-1,https://www.ebay.ca/itm/193787166048?hash=item2d1e9d7d60:g:F98AAOSwCudfznS9,1,0.0,0.0,1,18,64,Black
359.0874,1,https://www.ebay.ca/itm/401957759828?hash=item5d968cab54:g:8GcAAOSwY8Ncf01r,1,25.187399999999997,0.0,1,18,0,
418.32,36,https://www.ebay.ca/itm/402006950044?hash=item5d997b409c:g:ct4AAOSw33Fec-B9,1,20.4498,61.76520000000001,1,-1,0,
302.3874,15,https://www.ebay.ca/itm/393491090542?hash=item5b9de58c6e:g:78sAAOSwBt5g~HyR,1,21.42,0.0,1,14,64,Rose
352.8,2,https://www.ebay.ca/itm/274288073848?epid=240377072&hash=item3fdcd7dc78:g:GpgAAOSwuShfaCRT,1,17.955000000000002,52.8444,1,18,64,Gray
661.5,2,https://www.ebay.ca/itm/224557190381?epid=239086349&hash=item3448a6cced:g:bogAAOSwpY5hCJml,1,21.42,0.0,0,18,64,Gray
88.137,5,https://www.ebay.ca/itm/184611752533?epid=240174860&hash=item2afbb7ca55:g:QTAAAOSwqQpeIgde,1,12.9024,16.820999999999998,1,8,16,Choose
195.28740000000002,-1,https://www.ebay.ca/itm/165006379265?epid=238941171&hash=item266b258901:g:qrgAAOSwh1thALPP,1,31.752,31.4118,0,21,64,Silver
442.14660000000003,2,https://www.ebay.ca/itm/174158505039?hash=item288ca7e44f:g:4YoAAOSwz71gf6oQ,1,0.0,0.0,1,18,64,Space Gray
-1.0,19,https://www.ebay.ca/itm/224563137108?hash=item3449018a54:g:CQsAAOSww3Bg~pwD,1,-1.0,0.0,1,22,64,
364.14,15,https://www.ebay.ca/itm/265253358642?epid=240455169&_trkparms=ispr%3D1&hash=item3dc2550c32:g:nyYAAOSwQW1g93GU&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh5DTPVoneSMLNC2TQUbubzVQL%252BqZ5tU%252BYiLXW9lwv7ZYc%252FZBoDl0FJsE4JDKuNOZNU0oglbIGgeX31vuo1ow1gr0WCVC8d5dq%252Bi%252F50iMRPK4wRTFlOkXZK2Isz0Pjwhi%252B4u54Q%252FSscYu17No5a5slSPMv9aMLl3rkgTo86JpzQTa1gFp15XVyRqHhgZ4GOflFiRps8nDuWTE5OQRj9FuriUnEHOOJbRFIqFkM3w3b9lxZKFbuirl97i39fvVeVBZiX%252BIr7meBprU%252FFCiHvQi78BMyB9EASlnp6R4I8Xyo05VJg%252BaysH%252FFntHovmB4%252FtlDXYdVeYxhul6elQ8Ujul3aq%252F6eDIWqPg6iwVtuFJGQ25KenrJV78iLtlRoUWmSND4HNWDSNe2GFDvfIOCDlawEc9c%252BBacsm%252F6EHVhGHo8UuY3cvfdV6KoXM45v%252Fj0h0DFcBSxNRcCefNhUKBdKnA3O7SVKfkCFewgctLzyRBCgcBJbVkE0E3W4mbIuNzPE59wIoMsfzi9EH4nQBhbBiZElz5hUioBwGy5wMhLwdBO5ohsroqMaoBV3oXJtv8Apq2CEp8uzGQPm111LkYTS9JfreWSP%252BS8whFurISCog17s%252Bg3ATDtpBa0FCVtkEyvcLenGpN9LU8fJ439ArjrcQKJiakZAgdhu6EZPeFbLIPOLoGoKb41h6KVpvXQrMxv%252B3Hfg2S%252BU7EXIn3DDD0iUNtWYYni%252Ffin9TO92w0e5YOHOAcf9NAfKWyOl9Lg4Mbv%252FmROGxLBEi3RBHcGT%252F0DHqGB9ufMSetrod9R4TslkoMIbG3%7Campid%3APL_CLK%7Cclp%3A2334524,1,28.2366,54.394200000000005,1,18,64,Silver
377.98740000000004,-1,https://www.ebay.ca/itm/174794206270?epid=10026978811&_trkparms=ispr%3D1&hash=item28b28bec3e:g:tAMAAOSwUsVgvWIl&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252BjrfU%252BTCt4ETVdKYzSmcHrAx%252BM%252BX34QZoI0KjDsS%252Fb2AG%252BG%252Ft3s6DDPvVzxi8HoD3o2WlBfxeItaphrppQcTT66%252FDWzi4Zqir%252Bwy8LRX4pX%252FZ9W8vOuSBSoLMiTx6u3hyMvVTfeTk%252FqtauCrwshDCZy%252B4uJ3WjmGw8Wv7ntg7qgtOnMIVwmb7EKFT1rVS2vuxO0KPv3U6bAzW17dWj6xevFY5rt7PqfV3%252FI2FL0jLVVwcz%252Fvvx%252BqcOIDPw0RkTxY%252BZWMyxmWwJ1MLuHxSAh5ySgP3lq%252FQbdGsAbZzvCTEBlMxAWYfWm933ZW8VtxX1AfyY0%252BlWbIvnEDFdrzxigZlJnsTlaGd1NEhvYKhQT%252Fnme%252BmICtCML8EMxcjJTjbODylB9D3ntJ68w9GwBP4oTOp62%252BmO7OjynY%252Fju%252BzvOyzNTacvXIJFix%252FmVhLuCeMIHl%252B7bPozzEKdpQVX9I%252B3RHm08f%252BK3HVF8xl5fAGpmsVwXniLIYRYXz51U0fjyH6cVdFzvbAuv8KUJBryw2dBaF3LqxEVRtyTA3EIyzoA8fh6ExnqidOoELSubOYSAxH3KpmTjCFR6xVE1%252BSguE9mVr1Izx4EgbcZ4MfczX4r8CTvBR2iZGPpTC8Z4pWxn%252FFWxsUn%252B6gdZ8EjSWhE2wEvebJ%252FlnBwqtV%252F5uyWjz2wAlNBLRWuntxRNwyqL68eDCVGNkuix383ZsGdVOAkzkHpCiozEXTkIRMLtnW9syHao8DLGnnFAPslGoP2vYRtA438RJ%252Fxeg4poqiVVUuZmMW7gpGENr92HYwTISeMC8NwifqVD8J%7Campid%3APL_CLK%7Cclp%3A2334524,1,28.6398,56.2716,1,18,64,Silver
432.1674,-1,https://www.ebay.ca/itm/292448569034?epid=238941171&hash=item44174b06ca:g:iGMAAOSwHb9brPZt,1,20.7144,63.6678,1,18,64,Silver
378.0,2,https://www.ebay.ca/itm/333986814885?epid=238944741&hash=item4dc32a5ba5:g:wXUAAOSwGJJf3YC-,1,39.69,0.0,1,21,64,Space Gray
437.22,1,https://www.ebay.ca/itm/333986796381?epid=12032479089&hash=item4dc32a135d:g:TxAAAOSwBkdfNZHn,1,27.8082,64.3482,1,18,64,Silver
352.7874,20,https://www.ebay.ca/itm/254611896140?epid=239009332&hash=item3b480d374c:g:50cAAOSwcF5fYQ5g,1,17.955000000000002,52.8444,1,18,0,
355.30740000000003,-1,https://www.ebay.ca/itm/292673087283?epid=239054160&hash=item4424ace733:g:-D4AAOSwRjxb4KSx,1,19.2528,53.1972,1,18,64,Silver
428.3874,2,https://www.ebay.ca/itm/144140225633?epid=2310781314&hash=item218f6d4c61:g:MY0AAOSwHr5hC0-x,1,33.2262,63.151199999999996,1,18,64,Gray
503.98740000000004,2,https://www.ebay.ca/itm/144140230907?epid=12032479089&hash=item218f6d60fb:g:c70AAOSwABNhC1Jl,1,34.6752,73.4328,1,18,64,White
756.0,1,https://www.ebay.ca/itm/132870200907?epid=239160983&hash=item1eefae5e4b:g:lJsAAOSwdzhb~fzV,1,45.801,107.73,1,18,64,Silver
944.9874,1,https://www.ebay.ca/itm/163305139520?epid=239099127&hash=item2605bead40:g:MMAAAOSw1vVbnpfN,1,39.6522,133.4592,1,18,64,Silver
-1.0,2,https://www.ebay.ca/itm/174596698297?epid=220206811&hash=item28a6c630b9:g:cdEAAOSwwD5freNx,1,-1.0,0.0,1,-1,64,
326.34,-1,https://www.ebay.ca/itm/373285428193?epid=240377072&hash=item56e98b9be1:g:nFcAAOSwV6lfjnO0,1,44.1,0.0,1,18,64,Gray
424.99,-1,https://www.ebay.ca/itm/203507048677?epid=239093115&hash=item2f61f720e5:g:AqAAAOSwyqBg2SHc,1,21.99,0.0,1,18,64,Gray
441.0,2,https://www.ebay.ca/itm/233897397871?epid=238944741&hash=item36755f0e6f:g:Q7YAAOSw2QlgKqVN,1,20.8908,64.8648,1,21,64,Space Gray
68.04,-1,https://www.ebay.ca/itm/255079095603?epid=239164928&hash=item3b63e61d33:g:feYAAOSwgQ1g4nny,1,24.406200000000002,14.0868,0,14,64,Gold
315.0,-1,https://www.ebay.ca/itm/334097946868?hash=item4dc9ca18f4:g:~kMAAOSwtVRg635u,1,19.8954,47.7162,0,18,64,Black
-1.0,1,https://www.ebay.ca/itm/164962200211?epid=18041715036&hash=item2668836a93:g:9LwAAOSwvrxhDr3~,1,-1.0,0.0,1,-1,64,
427.1274,-1,https://www.ebay.ca/itm/282854160414?epid=240377072&hash=item41db6bf81e:g:LJAAAOSwAFRbrPaS,1,20.613599999999998,62.962199999999996,1,18,64,Space Gray
376.74,2,https://www.ebay.ca/itm/255078003945?epid=24042209746&_trkparms=ispr%3D1&hash=item3b63d574e9:g:PFsAAOSwWjthA1c5&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dj9TOkWMotkZm%252BzxZzcZazNVlsCtQq0%252BBmjcLTea6tdkLLEQCG15DnPygw7urGWTEhqLK%252F2YdtIDwvytu5YPuiiIyU2i9q6VvZ46p9TNfGR3cJGYOPcEdGjJVJK5fhPDqB10fwou28eUEeGZMzIi0FWtyL5%252BP0KGSCPluy4K%252Bs4EAo0gtjKz9THXG3shD%252Bjsbgt8g8KZKR1id4fA4qRqqTiF9wXluBeuPgohfRhPiQocj25zGYYJ4sRwVTxdhxLlGYJzczNV%252BbFScw5UKIaBhPKc3PlUKfSIRgCY3d9m8ACxlKwJuxuRfb%252Bxdch8wLdlD%252BF%252FeXFFE%252BZnr3YUMM73fNWNRDpE1gYubCQpL6DFK8DphwIP7qDvyK25YDqRsyU7LslDMDC6BHuqZ5g4bN9VThLj6RIfIidJRuhBiPh9WB7LjLlW7hkkRWZBgQd4KP8IlBOfyuVL2J%252BDlb5ffj%252BAAMg6cqfQBFrwihOWM3MLOt9fiWSkVTPPVwhIGv%252BEeGpRN4dziUR4G3b9m0vH5b4rGcks%252BZSlrqBHN1jSNGynAqyMCgcHlB5MBSAfuo7BetVjzDNEoRdJSElC6wCXkiOIShGeCqD2pvBshv%252B%252FxklWph10yHWQLX%252FqB83cUSObjzNpkSzR4S5VUjhjLpwSKBwi2wYPftN1r9AF3VrCF4jO%252FiMTGilW5UB1RWcbGZsN89dmAt5VgmNnTaGAiyeCdiQ7iVN5FExGjc9WW4IbkwwXs59eQXBkFzzVtBj7y5efImSffMPHt4FimjJQPRF%252B3JEvHaeA5B47k3E1Xfl%252F35YZLFTs%7Campid%3APL_CLK%7Cclp%3A2334524,1,28.476000000000003,56.107800000000005,1,18,64,Gray
590.94,-1,https://www.ebay.ca/itm/283686019432?epid=239093115&_trkparms=ispr%3D1&hash=item420d012168:g:U0IAAOSwGOJdni44&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2AKvZRvzJW0FGLUl%252Fu6koIw24KheYY6PM%252BtjDCGye%252FDWmEth6SuR5lehLjtZjr9DGarTjfB%252F0%252B8NyX9SHT0oG6QWRs0r88gikCLRO7WYDk2Omjhok5JMkMmudk%252BSgKtYg8HW0xfJRNxF1JpiXO%252FOCSBFJz4wtwbdpddO2%252F98JRws1qCkMzZYa5bgn3qvcXdkhwqyx0AusJ0gfRHqeJQSTTQNRBhOgsTGPvgBjiwUT7q2a2Qsc%252Fi35CTErqdxgxlzZBWW5SIZhkU5abKkMLX8x%252BJz89uAeBEVAMhgLiMG3frV4URxMGG1LxD99YvjqOk6Xis6PNX1%252FZqM1hxirWuQbKQQ2WEtZtDa95Q0LUSUoTvEtkYlDxR7akYfPNzjFkVGCybhv52CYNHU5XXSwYHszvw750schnJ8oKC3VaMEkXRSKcTXFqhzY3UQ1H%252BGokg1pYRSwU9L6id5cTPh9C7DLuHxLY5bGlPFMzH5SA1B%252F%252FPjBhQZtsUIhQIQnOtfSvtGx2lWOKV5f%252FdBbqC%252BYgK3hqeKTnBWmImhSBfd3qJu1qxqGMb%252FSRW0J9FJvHWe51b4SF6PvlnVh2UVMXU64ZBUmPuYp5qwd7LPXVfmNB462KTYvKQVn7simyYuZTPjwRBPViSC2itpN7aWyDY903E2bh6Pyit31t9cKLeVOZBJPtNpNuXKASNIfHkOSuem%252FUuFgZWaIYV90blcgXIoT5TNztrF50hGMnDXri5pGa6BRN2lyUAGgPJrLAPlTkL6aOnaMpBzhmvgq6AC58fDmuWur7DIp4RwEUfsX7YYsiIgj%252FIe%7Campid%3APL_CLK%7Cclp%3A2334524,1,36.477,85.2642,1,18,64,Gray
